customer_id,order_id,barcodes
56,63,"[""11111111173"", ""11111111421"", ""11111111490""]"
56,65,"[""11111111175"", ""11111111423"", ""11111111492""]"
56,66,"[""11111111176"", ""11111111424"", ""11111111493""]"
56,67,"[""11111111177"", ""11111111425"", ""11111111494""]"
56,68,"[""11111111178"", ""11111111426"", ""11111111495""]"
57,188,"[""11111111292"", ""11111111375"", ""11111111609""]"
57,39,"[""11111111149"", ""11111111466""]"
57,64,"[""11111111174"", ""11111111422"", ""11111111491""]"
58,189,"[""11111111293"", ""11111111376"", ""11111111610""]"
58,40,"[""11111111150"", ""11111111467""]"
58,90,"[""11111111199"", ""11111111516""]"
59,190,"[""11111111294"", ""11111111377"", ""11111111611""]"
59,41,"[""11111111151"", ""11111111468""]"
59,88,"[""11111111198"", ""11111111515""]"
59,91,"[""11111111200"", ""11111111517""]"
59,97,"[""11111111206"", ""11111111523""]"
59,98,"[""11111111207"", ""11111111524""]"
59,99,"[""11111111208"", ""11111111525""]"
6,195,"[""11111111299"", ""11111111382"", ""11111111616""]"
6,205,"[""11111111309"", ""11111111392"", ""11111111626""]"
60,113,"[""11111111222"", ""11111111539""]"
60,115,"[""11111111224"", ""11111111541""]"
60,116,"[""11111111225"", ""11111111542""]"
60,117,"[""11111111226"", ""11111111543""]"
60,191,"[""11111111295"", ""11111111612"", ""11111111674""]"
60,42,"[""11111111152"", ""11111111469""]"
60,87,"[""11111111197"", ""11111111514""]"
60,92,"[""11111111201"", ""11111111518""]"
61,118,"[""11111111227"", ""11111111544""]"
61,86,"[""11111111196"", ""11111111513""]"
61,93,"[""11111111202"", ""11111111519""]"
62,119,"[""11111111228"", ""11111111545""]"
62,85,"[""11111111195"", ""11111111512""]"
63,120,"[""11111111229"", ""11111111546""]"
63,84,"[""11111111194"", ""11111111511""]"
64,121,"[""11111111230"", ""11111111547""]"
64,83,"[""11111111193"", ""11111111510""]"
65,122,"[""11111111231"", ""11111111548""]"
65,82,"[""11111111192"", ""11111111509""]"
66,123,"[""11111111232"", ""11111111549""]"
66,81,"[""11111111191"", ""11111111508""]"
67,124,"[""11111111233"", ""11111111550""]"
67,70,"[""11111111180"", ""11111111497""]"
67,80,"[""11111111190"", ""11111111507""]"
68,125,"[""11111111234"", ""11111111551""]"
68,71,"[""11111111181"", ""11111111498""]"
68,79,"[""11111111189"", ""11111111506""]"
69,126,"[""11111111235"", ""11111111552""]"
69,72,"[""11111111182"", ""11111111499""]"
69,78,"[""11111111188"", ""11111111505""]"
7,196,"[""11111111300"", ""11111111383"", ""11111111617""]"
7,206,"[""11111111310"", ""11111111393"", ""11111111627""]"
70,129,"[""11111111238"", ""11111111555""]"
70,73,"[""11111111183"", ""11111111500""]"
70,77,"[""11111111187"", ""11111111504""]"
71,128,"[""11111111237"", ""11111111554""]"
71,130,"[""11111111239"", ""11111111556""]"
71,74,"[""11111111184"", ""11111111501""]"
71,76,"[""11111111186"", ""11111111503""]"
72,131,"[""11111111240"", ""11111111557""]"
72,140,"[""11111111249"", ""11111111566""]"
73,132,"[""11111111241"", ""11111111558""]"
73,141,"[""11111111250"", ""11111111567""]"
74,133,"[""11111111242"", ""11111111559""]"
74,142,"[""11111111251"", ""11111111568""]"
75,143,"[""11111111252"", ""11111111569""]"
76,144,"[""11111111253"", ""11111111570""]"
77,136,"[""11111111245"", ""11111111562""]"
77,150,"[""11111111254"", ""11111111571""]"
78,137,"[""11111111246"", ""11111111563""]"
78,151,"[""11111111255"", ""11111111572""]"
79,152,"[""11111111256"", ""11111111573""]"
8,197,"[""11111111301"", ""11111111384"", ""11111111618""]"
8,207,"[""11111111311"", ""11111111394"", ""11111111628""]"
80,153,"[""11111111257"", ""11111111574""]"
80,154,"[""11111111258"", ""11111111575""]"
80,155,"[""11111111259"", ""11111111576""]"
81,138,"[""11111111247"", ""11111111564""]"
9,198,"[""11111111302"", ""11111111385"", ""11111111619""]"
9,208,"[""11111111312"", ""11111111395"", ""11111111629""]"
